51300045925,beg,181,119
51300054436,dfg,286,230
51300063921,fbd,249,22
51300106922,cce,23,34
51300143478,bcc,109,267
51300197167,ffa,73,200
51300209263,abb,63,225
51300289277,cge,180,105
51300361780,cac,217,289
51300378818,cgd,234,222
51300420956,ebg,251,103
51300431444,dgd,19,10
51300453884,gea,171,111
51300618655,ecg,192,75
51300659535,abe,52,228
51300680959,gge,100,69
51300743781,ace,256,191
51300755037,fdg,253,268
51300766543,gac,260,32
51300773935,edd,66,263
51300831073,ffb,174,186
51300906282,cef,211,136
51300965654,fbd,37,19
51300989160,cfa,286,78
51301023293,beb,209,146
51301030744,ggg,185,118
51301051534,cfd,160,47
51301062866,efb,111,197
51301084010,gga,173,153
51301091730,fdb,218,174
51301093854,cab,167,43
51301101282,geg,229,145
51301107211,bgd,143,62
51301176074,eeg,121,32
51301180153,aff,275,281
51301237604,egb,298,193
51301256743,ecg,214,63
51301265868,gdc,165,84
51301271411,gec,133,230
51301288513,fgc,173,204
51301337548,faf,5,294
51301349056,fbc,294,284
51301350549,fbf,14,162
51301360354,baa,237,202
51301417505,ebc,63,14
51301471188,cdf,222,286
51301471446,fgd,170,177
51301481245,cbf,3,29
51301494357,dec,252,107
51301509384,cba,47,65
51301542193,cad,44,60
51301560973,def,143,268
51301573094,bfb,47,154
51301586830,fgb,183,162
51301589224,age,278,186
51301615332,aef,249,8
51301621795,ced,42,124
51301642012,eec,97,190
51301675571,adf,3,186
51301737231,gbd,163,234
51301760639,agd,103,224
51301772272,afg,231,32
51301808926,cfe,254,259
51301816167,gff,63,25
51301828018,fgg,277,243
51301836719,eff,196,132
51301850245,cgg,204,160
51301887266,ecb,159,155
51301889412,ceb,179,249
51301926331,bgb,128,45
51301931460,aaf,37,58
51301971247,dbf,186,210
51301975142,eee,236,51
51301995869,bdg,247,260
51301996264,fcg,242,97
51302052275,fee,179,142
51302101665,gbe,295,117
51302167492,cac,99,268
51302186824,age,156,212
51302202693,bge,76,197
51302215521,fgg,154,228
51302235786,bbf,183,62
51302241794,beb,256,132
51302243150,beg,219,130
51302254869,aaa,85,28
51302281540,bda,283,82
51302313337,dbg,128,176
51302329832,ecf,171,168
51302354370,fgb,39,178
51302371095,egf,194,137
51302416304,fcc,140,35
51302424940,dbe,42,76
51302426937,abd,19,277
51302430328,cge,31,107
51302445190,fgd,50,161
51302475027,dbc,42,287
51302492805,ded,126,139
51302493902,fca,49,150
51302500631,aff,18,236
51302505348,age,25,243
51302506935,caa,138,87
51302552318,bba,278,230
51302552954,fdb,72,142
51302554502,dge,145,101
51302555888,gaa,53,171
51302609295,faf,238,320
51302690199,dfc,128,59
51302707799,fcf,187,218
51302787104,bce,271,264
51302824236,ged,235,295
51302828627,cbb,28,88
51302925409,acc,156,290
51302996428,bbf,186,71
51303015671,bba,81,213
51303021998,cgb,159,46
51303024311,cda,274,210
51303027622,gef,3,52
51303055321,eff,172,105
51303072407,bdd,19,128
51303073473,ccf,254,248
51303167259,bfd,227,107
51303173970,edc,219,180
51303195203,aec,298,227
51303198195,adf,92,172
51303199771,cdg,105,238
51303232266,eed,29,294
51303238904,dcb,260,191
51303253133,adg,179,71
51303256715,fba,147,70
51303259453,geg,137,158
51303265024,aef,67,7
51303300999,ccb,231,165
51303307645,fdf,231,54
51303324781,deb,68,201
51303428283,bda,203,78
51303458248,afe,242,103
51303495340,cgd,79,237
51303508408,dbd,8,124
51303510362,ade,92,72
